name,address,양파,대파,계란,밥,다진마늘,당근,청양고추,오이,우유,부추,베이컨,식빵,두부,애호박,감자,어묵,깻잎,참치,콩나물,양배추,스팸,김치,팽이버섯,치즈,무,토마토,라면,새우,돼지고기,비엔나소세지,순두부,떡볶이떡,캔옥수수
달콤 짭조름♡ 떡 베이컨 간장조림♡,https://www.10000recipe.com/recipe/6843136,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
치킨너겟으로 간편하게 간장치킨 만들기,https://www.10000recipe.com/recipe/6868389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
단짠단짠의 대패덮밥,https://www.10000recipe.com/recipe/6878340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
어떻게 만들지? 항상 궁금했던 탕파국,https://www.10000recipe.com/recipe/6990547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10분요리) 양배추베이컨볶음!,https://www.10000recipe.com/recipe/6985504,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
먹음직스러운 청경채오징어볶음~!,https://www.10000recipe.com/recipe/6990544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
향긋한 쑥갓무침 5분완성 쑥갓요리 쑥갓겉절이,https://www.10000recipe.com/recipe/6990534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
♥[신혼밥상] 팽이버섯 덮밥,https://www.10000recipe.com/recipe/6933760,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[집밥레시피] 후다닥 만들어 먹는 달걀찜,https://www.10000recipe.com/recipe/6990493,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
비엔나 만두 강정,https://www.10000recipe.com/recipe/6877253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
초간단 럭셔리요리@ 매콤참치퀘사디아,https://www.10000recipe.com/recipe/6846168,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
만물상에 소개된 불 없이 5분만에 만든 오징어채 황금 레시피!,https://www.10000recipe.com/recipe/6894755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
볶아 먹는 시금치도 맛있다♪ 시금치달걀볶음,https://www.10000recipe.com/recipe/6892209,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봄나물 알배추 무침 만들기 된장이랑 찰떡인 알배추 요리예요 :),https://www.10000recipe.com/recipe/6954974,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
♥[신혼밥상] 5분 반찬 상추겉절이,https://www.10000recipe.com/recipe/6929388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#최애반찬#소세지강정,https://www.10000recipe.com/recipe/6933414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
밥 한그릇 뚝딱! 맵지 않은 아이반찬 고등어간장무조림,https://www.10000recipe.com/recipe/6987814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
담백한 새우연두부달걀탕,https://www.10000recipe.com/recipe/6847470,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
팽이버섯 베이컨 볶음,https://www.10000recipe.com/recipe/6898497,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
초간단 5분반찬!아삭아삭 '고추쌈장무침',https://www.10000recipe.com/recipe/6907091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아이반찬-얼갈이들깨무침,https://www.10000recipe.com/recipe/6912739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
든든한 혼밥 돈까스김치나베,https://www.10000recipe.com/recipe/6919305,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
초간단 머그컵 퐁당 오 쇼콜라*.*,https://www.10000recipe.com/recipe/6885805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
♥[신혼밥상] 10분 반찬! 메추리알조림,https://www.10000recipe.com/recipe/6916408,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
초간단 연두부반찬,https://www.10000recipe.com/recipe/6834258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"팽이버섯덮밥:초초초간단 그러나, 더 없이 훌륭한 한끼",https://www.10000recipe.com/recipe/6842114,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
쫄깃한 닭다리살로 오야꼬동(일본식 닭고기 덮밥) 만들기!,https://www.10000recipe.com/recipe/6979678,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
휘리릭~ 초 간단 맛살 볶음,https://www.10000recipe.com/recipe/6928511,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고소함이 남다른 백종원 '들기름계란후라이'초간단 레시피,https://www.10000recipe.com/recipe/6898369,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
단짠단짠 마성의 베이컨덮밥♡,https://www.10000recipe.com/recipe/6957003,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[반찬] 숙주새우달걀볶음,https://www.10000recipe.com/recipe/6847884,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
딱 10분이면 완성! 초간단 애호박덮밥,https://www.10000recipe.com/recipe/6886567,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
간단하게~ 양송이 버섯 덮밥,https://www.10000recipe.com/recipe/6883228,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
녹네 녹아.. 전자렌지 1분 30초 컷. 고소 짭짤 수란마요밥 만들기,https://www.10000recipe.com/recipe/6899367,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스팸 양파덮밥/스팸 돈부리,https://www.10000recipe.com/recipe/6891556,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
게살 텐신항:중국식?일본식? 어쨌든 초간단! 계란덮밥,https://www.10000recipe.com/recipe/6839363,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매운맛 쏙 마늘 꿀조림 만들기,https://www.10000recipe.com/recipe/6910384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
저녁반찬 없을때 후다닥 참치감자조림,https://www.10000recipe.com/recipe/6892715,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[No.1 감자새우덮밥] 고급스러운 중식덮밥,https://www.10000recipe.com/recipe/6841290,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연두부 샐러드,https://www.10000recipe.com/recipe/6842280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
초간단 굴소스 두부덮밥,https://www.10000recipe.com/recipe/6965550,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[간단 자취요리] 몽쉘로 쫀득쫀득 컵브라우니 만들기!,https://www.10000recipe.com/recipe/6865340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
냉파요리로 좋은 5분완성 떠먹는 컵피자 만들기,https://www.10000recipe.com/recipe/6894872,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
부추스팸덮밥. 냉장고 파먹기. 초간단덮밥요리. 혼밥요리.,https://www.10000recipe.com/recipe/6868392,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
짭조름하고 쫀득쫀득한 새송이버섯버터구이 만들기,https://www.10000recipe.com/recipe/6948579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
혼밥도 즐겁게! 버터갈릭새우,https://www.10000recipe.com/recipe/6893218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
원팬으로 10분이면 뚝딱!! 초간단 버섯당면볶음 입니다~^^,https://www.10000recipe.com/recipe/6930296,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
다이어트요리 두부카레볶음밥,https://www.10000recipe.com/recipe/6831876,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
후다닥!!!두부 크래미 달걀볶음!,https://www.10000recipe.com/recipe/6900423,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아이반찬 양파소세지볶음 레시피 양파요리 초스피드반찬,https://www.10000recipe.com/recipe/6989690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
삼겹살과 찰떡 궁합 ; 파채 만들기,https://www.10000recipe.com/recipe/6898283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
짭조름 간장 쏘야,https://www.10000recipe.com/recipe/6912270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
초간단 밥도둑 반찬! '깻잎스팸전'황금 레시피,https://www.10000recipe.com/recipe/6909721,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
초간단 반찬 브로콜리 새우볶음 만들기,https://www.10000recipe.com/recipe/6948689,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
새우 is 뭔들~ 카레버터새우볶음,https://www.10000recipe.com/recipe/6857754,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
#[면역력]아이밥 참치계란밥,https://www.10000recipe.com/recipe/6922045,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
겨자 한 스푼으로 느끼함 잡아주는 오이맛살마요무침~,https://www.10000recipe.com/recipe/6868911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
깔끔고소한 아침국~~들깨무국,https://www.10000recipe.com/recipe/6915735,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
감자베이컨치즈~전자렌지의 세계가 무한합니다^^♡,https://www.10000recipe.com/recipe/6895759,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
【초간단】전자렌지로 꽈리고추찜 만들기~,https://www.10000recipe.com/recipe/6887446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아침식사 굿굿! 노오븐 에어프라이어 스위트콘 콘옥수수 치즈 모닝빵,https://www.10000recipe.com/recipe/6928224,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"달콤한 마늘 고추장 볶음, # 아주 간단한 밑반찬 #초스피드반찬",https://www.10000recipe.com/recipe/6983141,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
허니맥나잇 만들기,https://www.10000recipe.com/recipe/6829888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1분완성 핵꿀맛 간식 토스트!완전 강추드려요!,https://www.10000recipe.com/recipe/6895448,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
상추비빔밥 참치쌈장에 비벼 먹으면 꿀맛!,https://www.10000recipe.com/recipe/6910254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"채쳐서 바로 무치는 초스피드 밑반찬, 상큼한 양배추 생채",https://www.10000recipe.com/recipe/6882531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
참치 알리올리오 볶음밥,https://www.10000recipe.com/recipe/6733300,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파프리카볶음밥 만드는 법 파프리카요리 볶음밥요리 한그릇요리 혼밥메뉴,https://www.10000recipe.com/recipe/6987220,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
엥 이거 완전 꿀조합 아니냐.. 오레오 치즈케이크 만들기!,https://www.10000recipe.com/recipe/6873390,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
초스피드반찬 : 유아반찬으로 좋은 감자카레전 5분만에 만들기,https://www.10000recipe.com/recipe/6945735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【2분반찬】고기와 환상궁합인 쪽파무침 만들기~,https://www.10000recipe.com/recipe/6871193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
간단요리 계란 양파덮밥 혼밥 자취레시피,https://www.10000recipe.com/recipe/6920148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"노오븐 브라우니 만들기 (따뜻한 겨울 간식,초간단)",https://www.10000recipe.com/recipe/6904938,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
맛남의광장 성시경레시피~머쉬마루버섯 버터간장구이,https://www.10000recipe.com/recipe/6958565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"참치쌈장 만드는 법, 짜지 않고 맛있어요!",https://www.10000recipe.com/recipe/6880978,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"하트소시지, 하트비엔나 만들기",https://www.10000recipe.com/recipe/6867119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[초간단 노오븐 베이킹] 5분완성 브라우니 만들기,https://www.10000recipe.com/recipe/6868357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[간단 자취요리] 콘꼬노미야끼 만들기,https://www.10000recipe.com/recipe/6872282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
체다치즈 계란후라이 덮밥 레시피!,https://www.10000recipe.com/recipe/6982555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"버섯조림으로 버섯덮밥까지, 반찬으로도 한그릇요리로도 안성맞춤!",https://www.10000recipe.com/recipe/6953969,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
아삭한 봄동 겉절이,https://www.10000recipe.com/recipe/6887815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
표고버섯 무밥 초간단 레시피/전기밥솥 요리,https://www.10000recipe.com/recipe/6880057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10분 완성 꿀레시피] 마늘 불고기 간단하고 맛있게!,https://www.10000recipe.com/recipe/6880674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"만두볶음밥 만들기, 간단한 한 끼 식사로 제격 ~",https://www.10000recipe.com/recipe/6884578,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쑥갓두부무침~초간단반찬,https://www.10000recipe.com/recipe/6911174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
초간단 무반죽 포카치아 만들기,https://www.10000recipe.com/recipe/6932185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
크래미요리 3탄 마지막 시리즈 크래미로 푸팟퐁커리 만들기,https://www.10000recipe.com/recipe/6988704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우유달걀카레 - 아침식사 거르지마세요. 초간단 15분요리,https://www.10000recipe.com/recipe/6902125,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
매콤 소시지 달걀 치즈구이,https://www.10000recipe.com/recipe/6916782,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"베이컨 떡꼬치구이 만드는 법, 아이 간식",https://www.10000recipe.com/recipe/6902807,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
간단 하지만 맛있는 베이컨 당면 덮밥,https://www.10000recipe.com/recipe/6893882,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
숙주볶음밥 스팸과 굴 소스와 함께했어요.,https://www.10000recipe.com/recipe/6858261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"초간단 아침식사, 카레향 나는 두부 달걀 스크램블 덮밥",https://www.10000recipe.com/recipe/6908353,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"미역 떡국, 바쁜 아침 10분 완성!고깃국보다 더 맛있어요.",https://www.10000recipe.com/recipe/6986288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
깔끔하게 입맛 돋우는 사과청경채무침,https://www.10000recipe.com/recipe/6838162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오야꼬동만들기 너무쉬운 닭고기덮밥!,https://www.10000recipe.com/recipe/6870013,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고추참치짜글이 레시피,https://www.10000recipe.com/recipe/6990373,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[간단 자취요리] 화끈하게 매운 불참치장 만들기,https://www.10000recipe.com/recipe/6877635,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"초간단 아침식사, 아이들도 좋아하는 부드러운 게맛살 순두부 계란탕",https://www.10000recipe.com/recipe/6882367,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
고추장참치볶음밥 : 맛있고 간단하게 한끼 해결!,https://www.10000recipe.com/recipe/6842991,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
초간단 술안주 백종원 어묵말이!어묵의 고급진 변신,https://www.10000recipe.com/recipe/6897545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
비건 통밀쿠키 ! 초간단에 맛있고 난리부르스,https://www.10000recipe.com/recipe/6932067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
깔끔매콤 차돌박이 숙주찜,https://www.10000recipe.com/recipe/6893869,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스팸 두부김치,https://www.10000recipe.com/recipe/6838790,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
쉬운 나물반찬#3♥콩나물 볶음~~,https://www.10000recipe.com/recipe/6927024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[반찬] 명란당근볶음/명란젓 당근볶음/알이 톡톡~단짠한 맛이 최고예요♪,https://www.10000recipe.com/recipe/6956953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
초간단 고추참치마요 삼각주먹밥 만들기,https://www.10000recipe.com/recipe/6905992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
핵초간단 양배추어묵볶음,https://www.10000recipe.com/recipe/6899335,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
